designation	id_text	museum_no	collection	excavation_no	provenience	period	primary_publication	author	publication_date	publication_history	Cohen_balag	Delnero_no	Delnero_subgenre_no	Delnero_remarks	material	object_type	language	sub_genre	accession_no	cdli_comments	atf_source	date_remarks	cdli_collation	electronic_publication
N 1296	P276447	N 1296	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			298	Balag Enlil (259)		clay	tablet	Sumerian				no atf			
N 1411	P276556	N 1411	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			301	Uncertain TT Enlil (489)		clay	tablet					no atf			
N 1522	P276657	N 1522	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			302	Uncertain TT and D (494)		clay	tablet	Akkadian ?				no atf			
N 1935	P277049	N 1935	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			303	Balag ID (127)		clay	tablet	Sumerian				no atf			
N 2684	P277752	N 2684	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			305	Balag ID (45)		clay	tablet	Sumerian				no atf			
N 3095	P278152	N 3095	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd	A. Cavigneaux, JAOS 113 (1993: 256)		309	Balag ID (46)		clay	tablet	Sumerian				no atf			
N 3127	P278183	N 3127	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			310	Balag ID (128)		clay	tablet	Sumerian				no atf			
N 3164	P278218	N 3164	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd	A. Cavigneaux, JAOS 113 (1993: 256–57)		311	Balag ID (99)		clay	tablet	Sumerian				no atf			
N 3316	P278359	N 3316	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			312	Ershemma Enlil (421)		clay	tablet	Sumerian				no atf			
N 3329 + N 7472	P278371	N 3329 + N 7472	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			313	Balag ID (129)		clay	tablet	Sumerian				no atf			
N 3332	P278373	N 3332	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			314	Balag ID (130)		clay	tablet	Sumerian				no atf			
N 3338 + N 3380	P278417	N 3338 + N 3380	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			315	Balag ID (131)		clay	tablet	Sumerian				no atf			
N 3342	P278382	N 3342	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			316	Uncertain TT ID (472)		clay	tablet	Sumerian				no atf			
N 3344	P278384	N 3344	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			317	Balag ID (132)		clay	tablet	Sumerian				no atf			
N 3348 + N 3377 + N 3423 + N 4186 + N 4850 + N 7684	P278414	N 3348 + N 3377 + N 3423 + N 4186 + N 4850 + N 7684	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			318	Balag ID (133)		clay	tablet					no atf			
N 3358	P278398	N 3358	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			319	Balag ID (134)		clay	tablet	Sumerian				no atf			
N 3388 + N 4228	P278424	N 3388 + N 4228	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			320	Balag ID (47)		clay	tablet	Sumerian				no atf			
N 3396 + N 7777	P278431	N 3396 + N 7777	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			322	Balag ID (135)		clay	tablet	Sumerian				no atf			
N 3556	P278581	N 3556	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			323	Ershemma Enlil (422)		clay	tablet	Sumerian				no atf			
N 3605	P278623	N 3605	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			324	Balag ID (136)		clay	tablet	Sumerian				no atf			
N 3616	P278634	N 3616	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			325	Uncertain TT ID (473)		clay	tablet	Sumerian				no atf			
N 3655	P275008	N 3655	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			326	Balag ID (137)		clay	tablet	Sumerian				no atf			
N 3683	P278698	N 3683	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			327	Balag ID (138)		clay	tablet	Sumerian				no atf			
N 4100	P275010	N 4100	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			328	Balag ID (139)		clay	tablet	Sumerian				no atf			
N 4124	P278999	N 4124	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			329	Ershemma Enlil (423)		clay	tablet	Sumerian				no atf			
N 4163	P279029	N 4163	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			330	Balag Martu (273)		clay	tablet	Sumerian				no atf			
N 4204	P275011	N 4204	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			332	Balag ID (140)		clay	tablet	Sumerian				no atf			
N 4216	P279079	N 4216	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			334	Balag NG (183)		clay	tablet	Sumerian				no atf			
N 5450	P228467	N 5450	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			335	Uncertain TT and D (495)		clay	tablet					no atf			
N 5662	P279766	N 5662	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	Marchesi 2006, pl. I	nn	nd	Marchesi (2006: 44–45)		336	Balag NG (184)		clay	tablet	Sumerian				no atf			
N 7276	P281009	N 7276	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			337	Uncertain TT ID (474)		clay	tablet					no atf			
N 7458	P281187	N 7458	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			338	Uncertain TT ID (475)		clay	tablet					no atf			
N 7816	P281540	N 7816	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			339	Balag ID (141)		clay	tablet					no atf			
N 7854	P281578	N 7854	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			340	Balag Enlil (260)		clay	tablet					no atf			
NABU 2012/008	P255232	N 6399 + UM 29-13-246	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	NABU 2012/008	Peterson, Jeremiah	2012	Peterson (NABU 2013/068)		341	Balag Enlil (233)		clay	tablet	Sumerian				no atf			
NABU 2012/044	P278132	N 3073 + N 3312	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	Peterson 2012a, 56-57 = n. 44	Peterson, Jeremiah	2012	Peterson (2012a)		308	Ershemma ID (353)		clay	tablet	Sumerian				no atf			
NFT p. 202, AO 4327	P315471	AO 04327	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 202	Thureau-Dangin, François	1910	Delnero (2020, Appendix 1: Uruamairabi – Source G1)		238	Balag ID (115)		clay	tablet					no atf			
NFT p. 204, AO 4330	P315472	AO 04330	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 204	Thureau-Dangin, François	1910			241	Balag Bau (201)		clay	tablet					no atf			
NFT p. 205, AO 4328	P315474	AO 04328	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 205	Thureau-Dangin, François	1910			239	Balag Bau (200)		clay	tablet					no atf			
NFT p. 205, AO 4336+	P315473	AO 04336 + AO 04337	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 205	Thureau-Dangin, François	1910			245	Balag ID (88)		clay	tablet					no atf			
NFT p. 206	P355650	AO 04338	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 206	Thureau-Dangin, François	1910			246	Balag Uncertain Deity (303)		clay	tablet	Sumerian				no atf			
NFT p. 207	P355651	AO 04331 + AO 04335	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 207	Thureau-Dangin, François	1910	Poebel (1927)		242	Ershemma ID (329)		clay	tablet	Sumerian				no atf			
NFT p. 208	P355652	AO 04329	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 208	Thureau-Dangin, François	1910			240	Balag ID (85)		clay	tablet	Sumerian				no atf			
NFT p. 209	P355653	AO 04334 + AO 04339 + AO 04340 + AO 04341	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 209	Thureau-Dangin, François	1910			244	Balag ID (87)		clay	tablet	Sumerian				no atf			
NFT p. 210, AO 4333	P355655	AO 04333	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 210	Thureau-Dangin, François	1910			243	Balag ID (86)		clay	tablet	Sumerian				no atf			
NFT p. 210, AO 4342	P355654	AO 04342	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 210	Thureau-Dangin, François	1910			247	Balag ID (116)		clay	tablet	Sumerian				no atf			
NFT p. 211, AO 4316	P355659	AO 04316	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 211	Thureau-Dangin, François	1910			237	Ershemma Bau (403)		clay	tablet	Sumerian				no atf			
NFT p. 211, AO 4345	P355656	AO 04345	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 211	Thureau-Dangin, François	1910			248	Balag Uncertain Deity (304)		clay	tablet	Sumerian				no atf			
NFT p. 211, AO 4346	P355660	AO 04346	Louvre Museum, Paris, France		Girsu	Old Babylonian	NFT p. 211	Thureau-Dangin, François	1910			249	Uncertain TT ID (471)		clay	tablet	Sumerian				no atf			
OECT 05, 10	P345791	Ashm 1930-0362	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 10	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 612		464	Balag AD (196)		clay	tablet	Sumerian				no atf			
OECT 05, 16	P345797	Ashm 1930-0363b+i	Ashmolean Museum, Oxford, UK		Kish	Old Babylonian	OECT 05, 16	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 613		465	Ershemma ID (380)		clay	tablet	Sumerian				no atf			
OECT 05, 18	P345799	Ashm 1930-0341a	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 18	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 534		461	Balag NG (187)		clay	tablet	Sumerian				no atf			
OECT 05, 37	P345818	Ashm 1930-0402e	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 37	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 615		469	Balag Enlil (238)		clay	tablet	Sumerian				no atf			
OECT 05, 39	P345820	Ashm 1930-0363j	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra) ?	Old Babylonian	OECT 05, 39	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 616		466	Ershemma Nanna-Suen (458)		clay	tablet	Sumerian				no atf			
OECT 05, 40	P345821	Ashm 1930-0344 + Ashm 1930-0363c	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 40	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 617		462	Ershemma ID (381)		clay	tablet	Sumerian				no atf			
OECT 05, 41	P345822	Ashm 1930-0402d	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 41	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 618		468	Balag ID (163)		clay	tablet	Sumerian				no atf			
OECT 05, 42	P345823	Ashm 1930-0399b	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 42	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 619		467	Balag ID (164)		clay	tablet	Sumerian				no atf			
OECT 05, 43	P345824	Ashm 1930-0345c	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 43	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 620		463	Uncertain TT and D (506)		clay	tablet	Sumerian				no atf			
OECT 05, 45	P345826	Ashm 1930-0230g	Ashmolean Museum, Oxford, UK		Kish	Old Babylonian	OECT 05, 45	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 535		460	Balag ID (165)		clay	tablet	Sumerian				no atf			
OECT 05, 46	P345827	Ashm 1924-1062 + Ashm 1924-2156	Ashmolean Museum, Oxford, UK		Kish	Old Babylonian	OECT 05, 46	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 536		470	Balag ID (166)		clay	tablet	Sumerian				no atf			
OECT 05, 57	P345838	Ashm 1930-0366i	Ashmolean Museum, Oxford, UK		Kish (mod. Tell Ingharra)	Old Babylonian	OECT 05, 57	Gurney, Oliver R. & Kramer, Samuel N.	1976	Bowen PSK 622		471	Balag NG (188)		clay	tablet	Sumerian				no atf			
OIM A06742	P392068	OIM A06742	Oriental Institute, University of Chicago, Chicago, Illinois, USA			Old Babylonian				M. Cohen, Hymnology (1981: 95–103)		477	Ershemma NG (387)	Unpublished, see Cohen 1981, 16 n. 110	clay	tablet					no atf			
OIP 016, 030	P266500	CBS 11349	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	STVC 30	Chiera, Edward	1934	Black (1985: 70–71)		285	Balag ID (94)		clay	tablet	Sumerian				no atf			
OIP 016, 032	P370896	CBS 11178	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	STVC 32	Chiera, Edward	1934			279	Balag Enki (278)		clay	tablet					no atf			
OIP 016, 085	P262310	CBS 07285	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	STVC 85	Chiera, Edward	1934			270	Balag Enlil (255)		clay	tablet	Sumerian				no atf			
OIP 016, 122	P262930	CBS 07990	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	STVC 122	Chiera, Edward	1934			271	Balag ID (119)		clay	tablet	Sumerian				no atf			
PBS 01/1, 05	P260028	CBS 03656	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30, 2	Myhrman, David W.	1911	M. Fritz, AOAT 307 (2003: 186–87)		267	Balag NG (181)		clay	tablet	Sumerian				no atf			
PBS 01/1, 10	P266483	CBS 11326	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30/1, 5	Myhrman, David W.	1911	Radau, Hugo, BE 30/1 (1913) 05		281	Balag ID (92)		clay	tablet					no atf			
PBS 10/2, 02	P257610	CBS 00045	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian	PBS 10/2, 2	Langdon, Stephen H.	1917	Black (2005: 49–50)		254	Ershemma AD (397)		clay	tablet	Sumerian				no atf			
PBS 10/2, 03	P257600	CBS 00035	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian	PBS 10/2, 3	Langdon, Stephen H.	1917	E. Bergman, ZA 57 (1965: 33–42);  S. Maul, Herzberuhigungsklagen (1988:  8-10)		253	Ershemma Martu (449)		clay	tablet	Sumerian				no atf			
PBS 10/4, 05	P269760	CBS 15204	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	PBS 10/4, 5	Langdon, Stephen H.	1919	Cohen (1972: 236)		296	Balag Enlil (258)		clay	tablet	Sumerian				no atf			
PBS 12, 27	P257700	CBS 00135	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	PBS 12/1, 27	Langdon, Stephen H.	1917			257	Ershemma Utu (271)		clay	tablet	Sumerian				no atf			
PRAK B 060	P343877	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 060	Genouillac, Henri de	1924	Bowen PSK 542		366	Uncertain TT and D (496)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK B 110	P343927	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 110	Genouillac, Henri de	1924	Bowen PSK 496; P. Delnero, SANER 26 (2021: 374)		367	Balag ID (145)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK B 123	P343940	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 123	Genouillac, Henri de	1924	Bowen PSK 543		368	Balag Uncertain Deity (311)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK B 184	P344000	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 184	Genouillac, Henri de	1924	Bowen PSK 545		369	Ershemma ID (352)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK B 186	P344002	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 186	Genouillac, Henri de	1924	Bowen PSK 546		370	Balag ID (146)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK B 188	P344004	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 188	Genouillac, Henri de	1924	Bowen PSK 497		371	Balag ID (18)		clay	tablet	Sumerian; Akkadian				no atf			
